"","coords.x1","coords.x2","collection_no"
"281",-30.2267880096239,-59.7308699347497,190568
"282",14.9302464869709,-54.5573299554941,190735
"283",-30.1500876027813,-60.0810119444754,193000
"284",-24.2920055737175,-62.4384065149665,195279
"285",-23.8894656831668,-62.6337121351919,195280
"286",-28.6947784871931,-61.3411169884726,196551
"287",-25.0226301943262,-62.0403788764672,196819
"288",48.8461799333675,29.8527436284463,196927
"289",12.8497217875094,-54.0283202668801,196928
"290",12.8497217875094,-54.0283202668801,196929
"291",12.8497217875094,-54.0283202668801,196930
"292",12.8497217875094,-54.0283202668801,196931
"293",71.3073363227128,-82.6886660528176,27265
"294",71.3073363227128,-82.6886660528176,27266
"295",36.9766399375189,32.6325468990715,28396
"296",37.5977996729226,32.331005668339,28397
"297",38.3099231386976,33.8432058104595,28398
"298",47.1621440741902,31.8386976985257,37037
"299",96.7408356442543,9.78861547457421,60516
"300",-20.0150974897879,-63.9781225368144,80140
"301",137.120768532386,-58.1897098566157,85560
"302",-23.2240788162592,-64.138063841893,85942
"303",37.2198650626722,31.7964299496503,85957
"304",70.7509852125647,-82.6177583928087,87414
"305",72.652879787448,45.1276725109624,93419
"306",37.2198650626722,31.7964299496503,93572
"307",37.2198650626722,31.7964299496503,93573
"308",36.8811282380474,34.2828323842775,93577
"309",36.9493854938055,31.9936813757208,94247
"310",138.664038658298,-56.9999291083948,94541
"311",-20.1614301308161,-63.9259308942584,98602
"312",72.652879787448,45.1276725109624,101069
"313",-20.8725778114522,-63.9497949483239,101956
"314",-12.297632970973,-64.9379986088743,105608
"315",-22.5019489865404,-63.5312039923926,105718
"316",73.239466859409,45.5582966375318,112284
"317",134.069767135453,-76.2130711018133,117149
"318",-22.8578828166173,-64.9041259598095,117176
"319",72.652879787448,45.1276725109624,117524
"320",21.1763859425913,13.6848144880682,118148
"321",25.4210357339632,17.1978599002611,134299
"322",138.008472086771,-58.5432217527871,136407
"323",134.877411756641,-57.4107671488643,136409
"324",143.142082261423,-67.6689014011989,136497
"325",58.8384499561013,-41.3291373256699,136568
"326",134.029532656383,-76.1179504484938,136589
"327",133.959359681654,-76.4147052352491,136590
"328",134.765352768743,-76.1408060294489,136591
"329",134.5835219711,-76.1554405938071,136592
"330",135.283981604773,-76.3023200104881,136593
"331",132.813505337183,-75.9128228710611,136594
"332",133.171168851943,-75.1504789483151,136595
"333",33.9448350318807,42.08097529213,143206
"334",72.2341457125853,44.1840858628457,143210
"335",72.7224761906535,45.0513736881209,143474
"336",72.7224761906535,45.0513736881209,143481
"337",74.176731662385,44.6401944711183,143485
"338",-18.7358407318374,-63.4927446945349,143692
